,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,1732773,20000000,1372,1169,0.0666,0.0173,0.0634,0.000521,0.2,0.54,2012-01-22,qAK2wAO,"ts_skewness(vec_avg(nws31_d1_firstmentionsentence),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,1207281,20000000,1177,1304,0.0651,0.0121,0.1359,0.000371,0.12,0.39,2012-01-22,qAK2VpO,"ts_skewness(vec_avg(nws31_d1_companycount),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,904107,20000000,1316,1542,0.0605,0.0091,0.0763,0.000299,0.08,0.3,2012-01-22,RpJxvPo,"ts_skewness(vec_avg(nws31_d1_wordcount),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,1614903,20000000,1301,1557,0.0616,0.0162,0.1836,0.000525,0.08,0.21,2012-01-22,17q303k,"ts_skewness(vec_avg(nws31_d1_bodysize),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,596743,20000000,1303,1554,0.0598,0.006,0.1006,0.0002,0.04,0.18,2012-01-22,ro1anzj,"ts_skewness(vec_avg(nws31_d1_sentencecount),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
5,381041,20000000,1451,1404,0.0711,0.0038,0.1087,0.000107,0.02,0.11,2012-01-22,Qa1Rogw,"ts_skewness(vec_avg(nws31_d1_urgency),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,338372,20000000,307,424,0.1508,0.0043,0.1319,5.7e-05,0.01,0.05,2012-01-22,17q3RVQ,"ts_skewness(vec_avg(nws31_subjects),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,440372,20000000,54,91,0.054,0.0061,0.2679,0.000226,0.01,0.06,2012-01-22,xxK7owq,"ts_skewness(vec_avg(nws31_linkedidvalues),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,60022,20000000,1407,1451,0.0673,0.0006,0.1661,1.8e-05,0.0,0.02,2012-01-22,WpErxXo,"ts_skewness(vec_avg(nws31_d1_sentimentnegative),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,-230457,20000000,1436,1519,0.0746,-0.0058,0.1086,-0.000155,-0.04,-0.18,2012-01-22,EwZnxMP,"ts_skewness(vec_avg(nws31_amertimestamp_time),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,-544057,20000000,1434,1424,0.0666,-0.0054,0.1487,-0.000164,-0.04,-0.18,2012-01-22,7wkP2KO,"ts_skewness(vec_avg(nws31_d1_sentimentneutral),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
