pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
8949234,20000000,3,3,0.957,0.0864,0.5659,0.000181,0.11,0.37,2012-01-22,9wRvQ6o,"ts_zscore(mws52_conference_call_participants,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
5703127,20000000,2,2,0.8711,0.0551,0.5802,0.000126,0.06,0.22,2012-01-22,078lWQp,"ts_zscore(mws52_eventtype,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5006994,20000000,4,4,1.0962,0.0484,0.9324,8.8e-05,0.04,0.21,2012-01-22,p67Xgzx,"ts_zscore(mws52_expirationtime,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5007002,20000000,4,4,1.0962,0.0484,0.9324,8.8e-05,0.04,0.21,2012-01-22,NpOwWQ8,"ts_zscore(mws52_starttime,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1160719,20000000,4,5,1.1212,-0.0112,1.1761,-2e-05,-0.0,-0.04,2012-01-22,xxn69OW,"ts_zscore(mws52_sentences_in_presentation,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1628392,20000000,4,5,1.1142,-0.0157,1.3705,-2.8e-05,-0.01,-0.06,2012-01-22,Gwoav6x,"ts_zscore(mws52_chars_in_presentation,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-3377496,20000000,3,3,0.9899,-0.0326,1.2182,-6.6e-05,-0.02,-0.11,2012-01-22,eOrpgkJ,"ts_zscore(mws52_questions_in_presentation,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-4023699,20000000,4,5,1.0746,-0.0389,1.3138,-7.2e-05,-0.02,-0.13,2012-01-22,bL9kVGq,"ts_zscore(mws52_questions_in_qa,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-7792906,20000000,2,3,0.9272,-0.0753,1.572,-0.000162,-0.09,-0.31,2012-01-22,17g95m6,"ts_zscore(mws52_corporate_participants,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-10090407,20000000,4,5,1.0631,-0.0975,1.5744,-0.000183,-0.1,-0.32,2012-01-22,oKYpezm,"ts_zscore(mws52_chars_in_qa,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-10763293,20000000,5,5,1.0746,-0.104,1.9867,-0.000194,-0.1,-0.32,2012-01-22,KbL0YON,"ts_zscore(mws52_sentences_in_qa,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
931616,20000000,4,5,1.0707,0.009,0.6965,1.7e-05,0.0,0.04,2012-01-22,roW3zNJ,"ts_zscore(mws52_talks_in_qa,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-5919859,20000000,4,5,1.112,-0.0572,1.8581,-0.000103,-0.05,-0.22,2012-01-22,eOrp2G6,"ts_zscore(mws52_words_in_presentation,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-7672142,20000000,3,4,1.0337,-0.0741,1.3759,-0.000143,-0.07,-0.26,2012-01-22,7wdAXm8,"ts_zscore(mws52_talks_in_presentation,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-18857251,20000000,4,4,1.0701,-0.1822,2.373,-0.00034,-0.25,-0.6,2012-01-22,5wvbaan,"ts_zscore(mws52_words_in_qa,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
